Title,Abstract
A combined computational and experimental characterization of lean premixed turbulent low swirl laboratory flames II. Hydrogen flames,"We present simulations of laboratory-scale Low Swirl Burner (LSB) flames in order to develop a characterization of the interaction of thermal/diffusive unstable flames with turbulence at the correct scales of laboratory experiments. A Lagrangian diagnostic was developed to overcome the pitfalls of traditional Eulerian analysis techniques when applied to cellular flame systems, including the lack of a well-defined measure of “flame progress” and the time-dependent strain and curvature fields that evolve at scales that are faster than the residence time in the flame zone. An integrated measure of consumption along the pathlines was shown to serve as a generalized analog of the Eulerian-computed consumption-based burning speed. The diffusive fuel flux divergence along the pathlines was shown to correlate directly with integrated consumption rate. Insights gained through the Lagrangian diagnostic analysis served as the underpinning of a new procedure to interpret OH-PLIF images from the LSB experiment. This new diagnostic is able to provide a more physically meaningful approximation to the “flame surface area” than traditional approaches based on PIV processing."
A computer-human interaction model to improve the diagnostic accuracy and clinical decision-making during 12-lead electrocardiogram interpretation,"Introduction The 12-lead Electrocardiogram (ECG) presents a plethora of information and demands extensive knowledge and a high cognitive workload to interpret. Whilst the ECG is an important clinical tool, it is frequently incorrectly interpreted. Even expert clinicians are known to impulsively provide a diagnosis based on their first impression and often miss co-abnormalities. Given it is widely reported that there is a lack of competency in ECG interpretation, it is imperative to optimise the interpretation process. Predominantly the ECG interpretation process remains a paper based approach and whilst computer algorithms are used to assist interpreters by providing printed computerised diagnoses, there are a lack of interactive human-computer interfaces to guide and assist the interpreter. Methods An interactive computing system was developed to guide the decision making process of a clinician when interpreting the ECG. The system decomposes the interpretation process into a series of interactive sub-tasks and encourages the clinician to systematically interpret the ECG. We have named this model ‘Interactive Progressive based Interpretation’ (IPI) as the user cannot ‘progress’ unless they complete each sub-task. Using this model, the ECG is segmented into five parts and presented over five user interfaces (1: Rhythm interpretation, 2: Interpretation of the P-wave morphology, 3: Limb lead interpretation, 4: QRS morphology interpretation with chest lead and rhythm strip presentation and 5: Final review of 12-lead ECG). The IPI model was implemented using emerging web technologies (i.e. HTML5, CSS3, AJAX, PHP and MySQL). It was hypothesised that this system would reduce the number of interpretation errors and increase diagnostic accuracy in ECG interpreters. To test this, we compared the diagnostic accuracy of clinicians when they used the standard approach (control cohort) with clinicians who interpreted the same ECGs using the IPI approach (IPI cohort). Results For the control cohort, the (mean; standard deviation; confidence interval) of the ECG interpretation accuracy was (45.45%; SD=18.1%; CI=42.07, 48.83). The mean ECG interpretation accuracy rate for the IPI cohort was 58.85% (SD=42.4%; CI=49.12, 68.58), which indicates a positive mean difference of 13.4%. (CI=4.45, 22.35) An N−1 Chi-square test of independence indicated a 92% chance that the IPI cohort will have a higher accuracy rate. Interpreter self-rated confidence also increased between cohorts from a mean of 4.9/10 in the control cohort to 6.8/10 in the IPI cohort (p=0.06). Whilst the IPI cohort had greater diagnostic accuracy, the duration of ECG interpretation was six times longer when compared to the control cohort. Conclusions We have developed a system that segments and presents the ECG across five graphical user interfaces. Results indicate that this approach improves diagnostic accuracy but with the expense of time, which is a valuable resource in medical practice."
A data mining-based framework for the identification of daily electricity usage patterns and anomaly detection in building electricity consumption data,"With the development of advanced information techniques, ﻿smart energy meters have made a considerable amount of real-time electricity consumption data available. These data provide a promising way to understand energy usage patterns and improve building energy management. However, previous studies have paid more attention to methodologies for the identification of energy usage patterns and are limited in the interpretability and applications of the patterns. In this context, this paper proposes a general data mining-based framework that can extract typical electricity load patterns (TELPs) and discover insightful information hidden in the patterns. The framework integrates multiple data mining techniques and mainly consists of three phases: data preparation, identification of TELPs and knowledge discovery in the patterns. A new clustering method with a two-step clustering analysis is proposed to identify the TELPs at the individual building level. Before clustering, five statistical features that represent the shapes of electricity load profiles are first defined to reduce the dimensions of daily electricity load profiles. The first clustering step aims at detecting outliers of daily electricity load profiles (DELPs) by using the density-based spatial clustering application with noise (DBSCAN) algorithm clustering technique, which addresses the data quality issues for electricity consumption data derived from energy consumption monitoring platforms (ECMPs). The second clustering step aims at grouping similar DELPs by means of the k-means algorithm to extract TELPs. The effectiveness of the proposed clustering method is demonstrated by a comparison with two single-step clustering techniques. Furthermore, a classification and regression tree (CART) algorithm is employed to discover insightful knowledge on TELPs and improve the interpretability of clustering results, namely, to explain the relations between dynamic influencing factors related to electricity consumption and TELPs. The proposed framework is applied to analyze the time-series electricity consumption data of three practical office buildings in Chongqing, and its effectiveness has been confirmed. A potential application of discovered knowledge is presented: early fault detection of anomalous electricity load profiles. The proposed framework can provide building managers with an efficient way to understand the characteristics of building electricity usage patterns and detect anomalies therein."
A dataset and a methodology for intraoperative computer-aided diagnosis of a metastatic colon cancer in a liver,"The lack of pixel-wise annotated images severely hinders the deep learning approach to computer-aided diagnosis in histopathology. This research creates a public database comprised of: (i) a dataset of 82 histopathological images of hematoxylin-eosin stained frozen sections acquired intraoperatively on 19 patients diagnosed with metastatic colon cancer in a liver; (ii) corresponding pixel-wise ground truth maps annotated by four pathologists, two residents in pathology, and one final-year student of medicine. The Fleiss' kappa equal to 0.74 indicates substantial inter-annotator agreement; (iii) two datasets with images stain-normalized relative to two target images; (iv) development of two conventional machine learning and three deep learning-based diagnostic models. The database is available at http://cocahis.irb.hr. For binary, cancer vs. non-cancer, pixel-wise diagnosis we develop: SVM, kNN, U-Net, U-Net++, and DeepLabv3 classifiers that combine results from original images and stain-normalized images, which can be interpreted as different views. On average, deep learning classifiers outperformed SVM and kNN classifiers on an independent test set 14% in terms of micro balanced accuracy, 15% in terms of the micro F1 score, and 26% in terms of micro precision. As opposed to that, the difference in performance between deep classifiers is within 2%. We found an insignificant difference in performance between deep classifiers trained from scratch and corresponding classifiers pre-trained on non-domain image datasets. The best micro balanced accuracy estimated on the independent test set by the U-Net++ classifier equals 89.34%. Corresponding amounts of F1 score and precision are, respectively, 83.67% and 81.11%."
A decision tree based data-driven diagnostic strategy for air handling units,"Data-driven methods for fault detection and diagnosis of air handling units (AHUs) have attracted wide attention as they do not require high-level expert knowledge of the system of concern. This paper presents a decision tree based data-driven diagnostic strategy for AHUs, in which classification and regression tree (CART) algorithm is used for decision tree induction. A great advantage of the decision tree is that it can be understood and interpreted and therefore its reliability in fault diagnosis can be validated by both testing data and expert knowledge. A steady-state detector and a regression model are incorporated into the strategy to increase the interpretability of the diagnostic strategy developed. The proposed strategy is validated using the data from ASHRAE 1312-RP. It is shown that this strategy can achieve a good diagnostic performance with an average F-measure of 0.97. The interpretation of the diagnostic decision tree using expert knowledge showed that some diagnostic rules generated in the decision tree comply with expert knowledge. Nevertheless, the interpretation also indicated that some diagnostic rules generated are not reliable and some of them are only valid under certain operating conditions, which indirectly demonstrated the importance of the interpretability of fault diagnostic models developed using data-driven methods."
A Decision Tree-Initialised Neuro-fuzzy Approach for Clinical Decision Support,"Apart from the need for superior accuracy, healthcare applications of intelligent systems also demand the deployment of interpretable machine learning models which allow clinicians to interrogate and validate extracted medical knowledge. Fuzzy rule-based models are generally considered interpretable that are able to reflect the associations between medical conditions and associated symptoms, through the use of linguistic if-then statements. Systems built on top of fuzzy sets are of particular appealing to medical applications since they enable the tolerance of vague and imprecise concepts that are often embedded in medical entities such as symptom description and test results. They facilitate an approximate reasoning framework which mimics human reasoning and supports the linguistic delivery of medical expertise often expressed in statements such as ‘weight low’ or ‘glucose level high’ while describing symptoms. This paper proposes an approach by performing data-driven learning of accurate and interpretable fuzzy rule bases for clinical decision support. The approach starts with the generation of a crisp rule base through a decision tree learning mechanism, capable of capturing simple rule structures. The crisp rule base is then transformed into a fuzzy rule base, which forms the input to the framework of adaptive network-based fuzzy inference system (ANFIS), thereby further optimising the parameters of both rule antecedents and consequents. Experimental studies on popular medical data benchmarks demonstrate that the proposed work is able to learn compact rule bases involving simple rule antecedents, with statistically better or comparable performance to those achieved by state-of-the-art fuzzy classifiers."
A Decision Tree-Initialised Neuro-fuzzy Approach for Clinical Decision Support,"Apart from the need for superior accuracy, healthcare applications of intelligent systems also demand the deployment of interpretable machine learning models which allow clinicians to interrogate and validate extracted medical knowledge. Fuzzy rule-based models are generally considered interpretable that are able to reflect the associations between medical conditions and associated symptoms, through the use of linguistic if-then statements. Systems built on top of fuzzy sets are of particular appealing to medical applications since they enable the tolerance of vague and imprecise concepts that are often embedded in medical entities such as symptom description and test results. They facilitate an approximate reasoning framework which mimics human reasoning and supports the linguistic delivery of medical expertise often expressed in statements such as ‘weight low’ or ‘glucose level high’ while describing symptoms. This paper proposes an approach by performing data-driven learning of accurate and interpretable fuzzy rule bases for clinical decision support. The approach starts with the generation of a crisp rule base through a decision tree learning mechanism, capable of capturing simple rule structures. The crisp rule base is then transformed into a fuzzy rule base, which forms the input to the framework of adaptive network-based fuzzy inference system (ANFIS), thereby further optimising the parameters of both rule antecedents and consequents. Experimental studies on popular medical data benchmarks demonstrate that the proposed work is able to learn compact rule bases involving simple rule antecedents, with statistically better or comparable performance to those achieved by state-of-the-art fuzzy classifiers."
A Decision Tree-Initialised Neuro-fuzzy Approach for Clinical Decision Support,"Apart from the need for superior accuracy, healthcare applications of intelligent systems also demand the deployment of interpretable machine learning models which allow clinicians to interrogate and validate extracted medical knowledge. Fuzzy rule-based models are generally considered interpretable that are able to reflect the associations between medical conditions and associated symptoms, through the use of linguistic if-then statements. Systems built on top of fuzzy sets are of particular appealing to medical applications since they enable the tolerance of vague and imprecise concepts that are often embedded in medical entities such as symptom description and test results. They facilitate an approximate reasoning framework which mimics human reasoning and supports the linguistic delivery of medical expertise often expressed in statements such as ‘weight low’ or ‘glucose level high’ while describing symptoms. This paper proposes an approach by performing data-driven learning of accurate and interpretable fuzzy rule bases for clinical decision support. The approach starts with the generation of a crisp rule base through a decision tree learning mechanism, capable of capturing simple rule structures. The crisp rule base is then transformed into a fuzzy rule base, which forms the input to the framework of adaptive network-based fuzzy inference system (ANFIS), thereby further optimising the parameters of both rule antecedents and consequents. Experimental studies on popular medical data benchmarks demonstrate that the proposed work is able to learn compact rule bases involving simple rule antecedents, with statistically better or comparable performance to those achieved by state-of-the-art fuzzy classifiers."
A deep learning driven method for fault classification and degradation assessment in mechanical equipment,"Mechanical degradation may cause equipment to break down with serious safety, environment, and economic impact. Since the equipment usually operates under a tough working environment, which makes it vulnerable and increases the complexity of fault diagnosis. Simultaneously, the requirement of manufacturing systems with reliable self-assessment has been increasingly raised with the trend of smart industry. The aim of this paper is to fill this gap by providing a deep learning driven method for fault classification and degradation assessment. Compared with conventional data-driven methods, deep neural network has the ability to learn multiple nonlinear transformation with high complexity through multiple hidden layers, which helps to capture the main variations and discover the discriminative information from the industrial data. During the experiment, to confirm the effectiveness of deep learning for fault classification and degradation assessment, similar popular data-driven methods, including support vector machine, deep belief network, back propagation neural network, and k-nearest neighbour classification are employed to present a comprehensive comparison in both fault classification and degradation assessment. According to the numerical results, the proposed method outperforms the other conventional approaches and demonstrate its superiority in degradation assessment for mechanical equipment."
A deep learning interpretable classifier for diabetic retinopathy disease grading,"In this paper we present a diabetic retinopathy deep learning interpretable classifier. On one hand, it classifies retina images into different levels of severity with good performance. On the other hand, this classifier is able of explaining the classification results by assigning a score for each point in the hidden and input spaces. These scores indicate the pixel contribution to the final classification. To obtain these scores, we propose a new pixel-wise score propagation model that for every neuron, divides the observed output score into two components. With this method, the generated visual maps can be easily interpreted by an ophthalmologist in order to find the underlying statistical regularities that help to the diagnosis of this eye disease."
A diagnostic tool for population models using non-compartmental analysis: The ncappc package for R,"Background and objective Non-compartmental analysis (NCA) calculates pharmacokinetic (PK) metrics related to the systemic exposure to a drug following administration, e.g. area under the concentration–time curve and peak concentration. We developed a new package in R, called ncappc, to perform (i) a NCA and (ii) simulation-based posterior predictive checks (ppc) for a population PK (PopPK) model using NCA metrics. Methods The nca feature of ncappc package estimates the NCA metrics by NCA. The ppc feature of ncappc estimates the NCA metrics from multiple sets of simulated concentration–time data and compares them with those estimated from the observed data. The diagnostic analysis is performed at the population as well as the individual level. The distribution of the simulated population means of each NCA metric is compared with the corresponding observed population mean. The individual level comparison is performed based on the deviation of the mean of any NCA metric based on simulations for an individual from the corresponding NCA metric obtained from the observed data. The ncappc package also reports the normalized prediction distribution error (NPDE) of the simulated NCA metrics for each individual and their distribution within a population. Results The ncappc produces two default outputs depending on the type of analysis performed, i.e., NCA and PopPK diagnosis. The PopPK diagnosis feature of ncappc produces 8 sets of graphical outputs to assess the ability of a population model to simulate the concentration–time profile of a drug and thereby evaluate model adequacy. In addition, tabular outputs are generated showing the values of the NCA metrics estimated from the observed and the simulated data, along with the deviation, NPDE, regression parameters used to estimate the elimination rate constant and the related population statistics. Conclusions The ncappc package is a versatile and flexible tool-set written in R that successfully estimates NCA metrics from concentration–time data and produces a comprehensive set of graphical and tabular output to summarize the diagnostic results including the model specific outliers. The output is easy to interpret and to use in evaluation of a population PK model. ncappc is freely available on CRAN (http://cran.r-project.org/web/packages/ncappc/index.html/) and GitHub (https://github.com/cacha0227/ncappc/)."
A direct role of collagen glycation in bone fracture,"Non-enzymatic glycation (NEG) is an age-related process accelerated by diseases like diabetes, and causes the accumulation of advanced glycation end-products (AGEs). NEG-mediated modification of bone’s organic matrix, principally collagen type-I, has been implicated in impairing skeletal physiology and mechanics. Here, we present evidence, from in vitro and in vivo models, and establish a causal relationship between collagen glycation and alterations in bone fracture at multiple length scales. Through atomic force spectroscopy, we established that NEG impairs collagen’s ability to dissipate energy. Mechanical testing of in vitro glycated human bone specimen revealed that AGE accumulation due to NEG dramatically reduces the capacity of organic and mineralized matrix to creep and caused bone to fracture under impact at low levels of strain (3000–5000 μstrain) typically associated with fall. Fracture mechanics tests of NEG modified human cortical bone of varying ages, and their age-matched controls revealed that NEG disrupted microcracking based toughening mechanisms and reduced bone propagation and initiation fracture toughness across all age groups. A comprehensive mechanistic model, based on experimental and modeling data, was developed to explain how NEG and AGEs are causal to, and predictive of bone fragility. Furthermore, fracture mechanics and indentation testing on diabetic mice bones revealed that diabetes mediated NEG severely disrupts bone matrix quality in vivo. Finally, we show that AGEs are predictive of bone quality in aging humans and have diagnostic applications in fracture risk."
A disentangled generative model for disease decomposition in chest X-rays via normal image synthesis,"The interpretation of medical images is a complex cognition procedure requiring cautious observation, precise understanding/parsing of the normal body anatomies, and combining knowledge of physiology and pathology. Interpreting chest X-ray (CXR) images is challenging since the 2D CXR images show the superimposition on internal organs/tissues with low resolution and poor boundaries. Unlike previous CXR computer-aided diagnosis works that focused on disease diagnosis/classification, we firstly propose a deep disentangled generative model (DGM) simultaneously generating abnormal disease residue maps and “radiorealistic” normal CXR images from an input abnormal CXR image. The intuition of our method is based on the assumption that disease regions usually superimpose upon or replace the pixels of normal tissues in an abnormal CXR. Thus, disease regions can be disentangled or decomposed from the abnormal CXR by comparing it with a generated patient-specific normal CXR. DGM consists of three encoder-decoder architecture branches: one for radiorealistic normal CXR image synthesis using adversarial learning, one for disease separation by generating a residue map to delineate the underlying abnormal region, and the other one for facilitating the training process and enhancing the model’s robustness on noisy data. A self-reconstruction loss is adopted in the first two branches to enforce the generated normal CXR image to preserve similar visual structures as the original CXR. We evaluated our model on a large-scale chest X-ray dataset. The results show that our model can generate disease residue/saliency maps (coherent with radiologist annotations) along with radiorealistic and patient specific normal CXR images. The disease residue/saliency map can be used by radiologists to improve the CXR reading efficiency in clinical practice. The synthesized normal CXR can be used for data augmentation and normal control of personalized longitudinal disease study. Furthermore, DGM quantitatively boosts the diagnosis performance on several important clinical applications, including normal/abnormal CXR classification, and lung opacity classification/detection."
A fault diagnosis method based on signed directed graph and matrix for nuclear power plants,"In order to solve SDG online fault diagnosis and inference, matrix diagnosis and inference methods are proposed for fault detection and diagnosis (FDD). Firstly, “rules matrix” based on SDG model is used for FDD. Secondly, “status matrix” is proposed to achieve SDG online inference. According to different diagnosis results, “status matrix” is applied for the depth-first search and the breadth-first search respectively to find the propagation paths of each fault. Finally, the SDG model of the secondary-loop system in pressurized water reactor (PWR) is built to verify the effectiveness of the proposed method. The simulation experiment results indicate that the “status matrix” used for online inference can be used to find the fault propagation paths and to explain the causes for fault. Therefore, it can be concluded that the proposed method is one of the fault diagnosis for nuclear power plants (NPPs), which can be used to facilitate the development of fault diagnostic system."
A finite element analysis of diaphragmatic hernia repair on an animal model,"The diaphragm is a mammalian skeletal muscle that plays a fundamental role in the process of respiration. Alteration of its mechanical properties due to a diaphragmatic hernia contributes towards compromising its respiratory functions, leading to the need for surgical intervention to restore the physiological conditions by means of implants. This study aims to assess via numerical modeling biomechanical differences between a diaphragm in healthy conditions and a herniated diaphragm surgically repaired with a polymeric implant, in a mouse model. Finite Element models of healthy and repaired diaphragms are developed from diagnostic images and anatomical samples. The mechanical response of the diaphragmatic tendon is described by assuming an isotropic hyperelastic model. A similar constitutive model is used to define the mechanical behavior of the polymeric implant, while the muscular tissue is modeled by means of a three-element Hill’s model, specifically adapted to mouse muscle fibers. The Finite Element Analysis is addressed to simulate diaphragmatic contraction in the eupnea condition, allowing the evaluation of diaphragm deformation in healthy and herniated-repaired conditions. The polymeric implant reduces diaphragm excursion compared to healthy conditions. This explains the possible alteration in the mechanical functionality of the repaired diaphragm. Looking to the surgical treatment of diaphragmatic hernia in human neonatal subjects, this study suggests the implementation of alternative approaches based on the use of biological implants."
A forest-based algorithm for selecting informative variables using Variable Depth Distribution,"Predictive maintenance of systems and their components in technical systems is a promising approach to optimize system usage and reduce system downtime. Various sensor data are logged during system operation for different purposes, but sometimes not directly related to the degradation of a specific component. Variable selection algorithms are necessary to reduce model complexity and improve interpretability of diagnostic and prognostic algorithms. This paper presents a forest-based variable selection algorithm that analyzes the distribution of a variable in the decision tree structure, called Variable Depth Distribution, to measure its importance. The proposed variable selection algorithm is developed for datasets with correlated variables that pose problems for existing forest-based variable selection methods. The proposed variable selection method is evaluated and analyzed using three case studies: survival analysis of lead–acid batteries in heavy-duty vehicles, engine misfire detection, and a simulated prognostics dataset. The results show the usefulness of the proposed algorithm, with respect to existing forest-based methods, and its ability to identify important variables in different applications. As an example, the battery prognostics case study shows that similar predictive performance is achieved when only 17% percent of the variables are used compared to all measured signals."
